,start_station_name,end_station_name,trip number
1350,San Jose City Hall,MLK Library,33
1351,San Jose City Hall,Paseo de San Antonio,22
1352,San Jose City Hall,Ryland Park,6
1353,San Jose City Hall,SJSU - San Salvador at 9th,17
1354,San Jose City Hall,SJSU 4th at San Carlos,14
1355,San Jose City Hall,San Jose Civic Center,17
1356,San Jose City Hall,San Jose Diridon Caltrain Station,602
1357,San Jose City Hall,San Jose Government Center,1
1358,San Jose City Hall,San Pedro Square,23
1359,San Jose City Hall,San Salvador at 1st,225
1360,San Jose City Hall,Santa Clara County Civic Center,4
1361,San Jose City Hall,Santa Clara at Almaden,9
1362,San Jose City Hall,St James Park,7
1363,San Jose Civic Center,Adobe on Almaden,25
1364,San Jose Civic Center,Arena Green / SAP Center,5
1365,San Jose Civic Center,Japantown,2
1366,San Jose Civic Center,MLK Library,15
1367,San Jose Civic Center,Paseo de San Antonio,6
1368,San Jose Civic Center,Ryland Park,23
1369,San Jose Civic Center,SJSU - San Salvador at 9th,5
1370,San Jose Civic Center,SJSU 4th at San Carlos,4
1371,San Jose Civic Center,San Jose City Hall,4
1372,San Jose Civic Center,San Jose Diridon Caltrain Station,205
1373,San Jose Civic Center,San Pedro Square,10
1374,San Jose Civic Center,San Salvador at 1st,2
1375,San Jose Civic Center,Santa Clara County Civic Center,1
1376,San Jose Civic Center,Santa Clara at Almaden,37
1377,San Jose Civic Center,St James Park,1
1378,San Jose Diridon Caltrain Station,5th S at E. San Salvador St,1
1379,San Jose Diridon Caltrain Station,Adobe on Almaden,712
1380,San Jose Diridon Caltrain Station,Arena Green / SAP Center,16
1381,San Jose Diridon Caltrain Station,Japantown,532
1382,San Jose Diridon Caltrain Station,MLK Library,759
1383,San Jose Diridon Caltrain Station,Paseo de San Antonio,875
1384,San Jose Diridon Caltrain Station,Ryland Park,544
1385,San Jose Diridon Caltrain Station,S. Market St at Park Ave,5
1386,San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,196
1387,San Jose Diridon Caltrain Station,SJSU 4th at San Carlos,182
1388,San Jose Diridon Caltrain Station,San Jose City Hall,464
1389,San Jose Diridon Caltrain Station,San Jose Civic Center,362
1390,San Jose Diridon Caltrain Station,San Pedro Square,1390
1391,San Jose Diridon Caltrain Station,San Salvador at 1st,203
1392,San Jose Diridon Caltrain Station,Santa Clara County Civic Center,12
1393,San Jose Diridon Caltrain Station,Santa Clara at Almaden,2382
1394,San Jose Diridon Caltrain Station,St James Park,588
1395,San Jose Government Center,Japantown,1
1396,San Jose Government Center,Paseo de San Antonio,1
1397,San Jose Government Center,San Jose City Hall,1
1398,San Jose Government Center,San Pedro Square,1
1399,San Mateo County Center,Kaiser Hospital,4
1400,San Mateo County Center,Mezes Park,1
1401,San Mateo County Center,Park at Olive,1
1402,San Mateo County Center,Redwood City Caltrain Station,23
1403,San Mateo County Center,Redwood City Medical Center,3
1404,San Mateo County Center,Redwood City Public Library,10
1405,San Mateo County Center,Stanford in Redwood City,10
1406,San Pedro Square,Adobe on Almaden,8
1407,San Pedro Square,Arena Green / SAP Center,33
1408,San Pedro Square,Japantown,98
1409,San Pedro Square,MLK Library,27
1410,San Pedro Square,Paseo de San Antonio,18
1411,San Pedro Square,Ryland Park,70
1412,San Pedro Square,SJSU - San Salvador at 9th,11
1413,San Pedro Square,SJSU 4th at San Carlos,10
1414,San Pedro Square,San Jose City Hall,29
1415,San Pedro Square,San Jose Civic Center,11
1416,San Pedro Square,San Jose Diridon Caltrain Station,1148
1417,San Pedro Square,San Jose Government Center,1
1418,San Pedro Square,San Salvador at 1st,17
1419,San Pedro Square,Santa Clara County Civic Center,88
1420,San Pedro Square,Santa Clara at Almaden,7
1421,San Pedro Square,St James Park,79
1422,San Salvador at 1st,5th S at E. San Salvador St,1
1423,San Salvador at 1st,Adobe on Almaden,10
1424,San Salvador at 1st,Arena Green / SAP Center,13
1425,San Salvador at 1st,Japantown,14
1426,San Salvador at 1st,MLK Library,224
1427,San Salvador at 1st,Paseo de San Antonio,30
1428,San Salvador at 1st,Ryland Park,7
1429,San Salvador at 1st,SJSU - San Salvador at 9th,28
1430,San Salvador at 1st,SJSU 4th at San Carlos,64
1431,San Salvador at 1st,San Jose City Hall,54
1432,San Salvador at 1st,San Jose Civic Center,10
1433,San Salvador at 1st,San Jose Diridon Caltrain Station,122
1434,San Salvador at 1st,San Pedro Square,20
1435,San Salvador at 1st,Santa Clara County Civic Center,1
1436,San Salvador at 1st,Santa Clara at Almaden,3
1437,San Salvador at 1st,St James Park,9
1438,Santa Clara County Civic Center,Adobe on Almaden,2
1439,Santa Clara County Civic Center,Arena Green / SAP Center,52
1440,Santa Clara County Civic Center,Japantown,21
1441,Santa Clara County Civic Center,MLK Library,2
1442,Santa Clara County Civic Center,Paseo de San Antonio,3
1443,Santa Clara County Civic Center,Ryland Park,330
1444,Santa Clara County Civic Center,SJSU - San Salvador at 9th,6
1445,Santa Clara County Civic Center,San Jose City Hall,3
1446,Santa Clara County Civic Center,San Jose Civic Center,2
1447,Santa Clara County Civic Center,San Jose Diridon Caltrain Station,11
1448,Santa Clara County Civic Center,San Pedro Square,133
1449,Santa Clara County Civic Center,San Salvador at 1st,3
1450,Santa Clara County Civic Center,Santa Clara at Almaden,3
1451,Santa Clara County Civic Center,St James Park,11
1452,Santa Clara at Almaden,Adobe on Almaden,7
1453,Santa Clara at Almaden,Arena Green / SAP Center,146
1454,Santa Clara at Almaden,Japantown,2
1455,Santa Clara at Almaden,MLK Library,14
1456,Santa Clara at Almaden,Paseo de San Antonio,19
1457,Santa Clara at Almaden,Ryland Park,6
1458,Santa Clara at Almaden,SJSU - San Salvador at 9th,16
1459,Santa Clara at Almaden,SJSU 4th at San Carlos,309
1460,Santa Clara at Almaden,San Jose City Hall,3
1461,Santa Clara at Almaden,San Jose Civic Center,17
1462,Santa Clara at Almaden,San Jose Diridon Caltrain Station,2410
1463,Santa Clara at Almaden,San Pedro Square,9
1464,Santa Clara at Almaden,San Salvador at 1st,7
1465,Santa Clara at Almaden,St James Park,6
1466,Sequoia Hospital,Mezes,1
1467,Sequoia Hospital,Redwood City Caltrain Station,2
1468,South Van Ness at Market,2nd at Folsom,93
1469,South Van Ness at Market,2nd at South Park,217
1470,South Van Ness at Market,2nd at Townsend,106
1471,South Van Ness at Market,5th St at Folsom St,1
1472,South Van Ness at Market,5th at Howard,116
1473,South Van Ness at Market,Beale at Market,358
1474,South Van Ness at Market,Broadway St at Battery St,74
1475,South Van Ness at Market,Civic Center BART (7th at Market),763
1476,South Van Ness at Market,Clay at Battery,41
1477,South Van Ness at Market,Commercial at Montgomery,169
1478,South Van Ness at Market,Davis at Jackson,39
1479,South Van Ness at Market,Embarcadero at Bryant,23
1480,South Van Ness at Market,Embarcadero at Folsom,147
1481,South Van Ness at Market,Embarcadero at Sansome,317
1482,South Van Ness at Market,Embarcadero at Vallejo,89
1483,South Van Ness at Market,Golden Gate at Polk,87
1484,South Van Ness at Market,Grant Avenue at Columbus Avenue,15
1485,South Van Ness at Market,Harry Bridges Plaza (Ferry Building),87
1486,South Van Ness at Market,Howard at 2nd,183
1487,South Van Ness at Market,Market at 10th,103
1488,South Van Ness at Market,Market at 4th,490
1489,South Van Ness at Market,Market at Sansome,884
1490,South Van Ness at Market,Mechanics Plaza (Market at Battery),303
1491,South Van Ness at Market,Post at Kearney,70
1492,South Van Ness at Market,Post at Kearny,487
1493,South Van Ness at Market,Powell Street BART,557
1494,South Van Ness at Market,Powell at Post (Union Square),41
1495,South Van Ness at Market,San Francisco Caltrain (Townsend at 4th),1007
1496,South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),1445
1497,South Van Ness at Market,San Francisco City Hall,55
1498,South Van Ness at Market,Spear at Folsom,237
1499,South Van Ness at Market,Steuart at Market,165
1500,South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),463
1501,South Van Ness at Market,Townsend at 7th,705
1502,South Van Ness at Market,Washington at Kearney,18
1503,South Van Ness at Market,Washington at Kearny,25
1504,South Van Ness at Market,Yerba Buena Center of the Arts (3rd @ Howard),160
1505,Spear at Folsom,2nd at Folsom,155
1506,Spear at Folsom,2nd at South Park,269
1507,Spear at Folsom,2nd at Townsend,1035
1508,Spear at Folsom,5th at Howard,119
1509,Spear at Folsom,Beale at Market,176
1510,Spear at Folsom,Broadway St at Battery St,142
1511,Spear at Folsom,Civic Center BART (7th at Market),60
1512,Spear at Folsom,Clay at Battery,73
1513,Spear at Folsom,Commercial at Montgomery,432
1514,Spear at Folsom,Davis at Jackson,154
1515,Spear at Folsom,Embarcadero at Bryant,199
1516,Spear at Folsom,Embarcadero at Folsom,30
1517,Spear at Folsom,Embarcadero at Sansome,240
1518,Spear at Folsom,Embarcadero at Vallejo,110
1519,Spear at Folsom,Golden Gate at Polk,98
1520,Spear at Folsom,Grant Avenue at Columbus Avenue,100
1521,Spear at Folsom,Harry Bridges Plaza (Ferry Building),231
1522,Spear at Folsom,Howard at 2nd,144
1523,Spear at Folsom,Market at 10th,227
1524,Spear at Folsom,Market at 4th,171
1525,Spear at Folsom,Market at Sansome,116
1526,Spear at Folsom,Mechanics Plaza (Market at Battery),296
1527,Spear at Folsom,Post at Kearney,19
1528,Spear at Folsom,Post at Kearny,29
1529,Spear at Folsom,Powell Street BART,59
1530,Spear at Folsom,Powell at Post (Union Square),69
1531,Spear at Folsom,San Francisco Caltrain (Townsend at 4th),1517
1532,Spear at Folsom,San Francisco Caltrain 2 (330 Townsend),933
1533,Spear at Folsom,San Francisco City Hall,8
1534,Spear at Folsom,South Van Ness at Market,108
1535,Spear at Folsom,Steuart at Market,491
1536,Spear at Folsom,Temporary Transbay Terminal (Howard at Beale),79
1537,Spear at Folsom,Townsend at 7th,573
1538,Spear at Folsom,Washington at Kearney,20
1539,Spear at Folsom,Washington at Kearny,27
1540,Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),116
1541,St James Park,Adobe on Almaden,27
1542,St James Park,Arena Green / SAP Center,81
1543,St James Park,Japantown,40
1544,St James Park,MLK Library,36
1545,St James Park,Paseo de San Antonio,10
1546,St James Park,Ryland Park,13
1547,St James Park,S. Market St at Park Ave,1
1548,St James Park,SJSU - San Salvador at 9th,12
1549,St James Park,SJSU 4th at San Carlos,56
1550,St James Park,San Jose City Hall,19
1551,St James Park,San Jose Civic Center,4
1552,St James Park,San Jose Diridon Caltrain Station,658
1553,St James Park,San Pedro Square,75
1554,St James Park,San Salvador at 1st,16
1555,St James Park,Santa Clara County Civic Center,17
1556,St James Park,Santa Clara at Almaden,5
1557,Stanford in Redwood City,5th S at E. San Salvador St,8
1558,Stanford in Redwood City,Cowper at University,3
1559,Stanford in Redwood City,Kaiser Hospital,1
1560,Stanford in Redwood City,Palo Alto Caltrain Station,83
1561,Stanford in Redwood City,Redwood City Caltrain Station,503
1562,Stanford in Redwood City,Redwood City Medical Center,1
1563,Stanford in Redwood City,Redwood City Public Library,1
1564,Stanford in Redwood City,San Mateo County Center,26
1565,Stanford in Redwood City,University and Emerson,2
1566,Steuart at Market,2nd at Folsom,97
1567,Steuart at Market,2nd at South Park,773
1568,Steuart at Market,2nd at Townsend,4531
1569,Steuart at Market,5th St at Folsom St,1
1570,Steuart at Market,5th at Howard,165
1571,Steuart at Market,Beale at Market,13
1572,Steuart at Market,Broadway St at Battery St,601
1573,Steuart at Market,Civic Center BART (7th at Market),137
1574,Steuart at Market,Clay at Battery,263
1575,Steuart at Market,Commercial at Montgomery,80
1576,Steuart at Market,Davis at Jackson,175
1577,Steuart at Market,Embarcadero at Bryant,1019
1578,Steuart at Market,Embarcadero at Folsom,769
1579,Steuart at Market,Embarcadero at Sansome,3248
1580,Steuart at Market,Embarcadero at Vallejo,955
1581,Steuart at Market,Golden Gate at Polk,139
1582,Steuart at Market,Grant Avenue at Columbus Avenue,141
1583,Steuart at Market,Harry Bridges Plaza (Ferry Building),26
1584,Steuart at Market,Howard at 2nd,645
1585,Steuart at Market,Market at 10th,128
1586,Steuart at Market,Market at 4th,178
1587,Steuart at Market,Market at Sansome,126
1588,Steuart at Market,Mechanics Plaza (Market at Battery),293
1589,Steuart at Market,Post at Kearney,15
1590,Steuart at Market,Post at Kearny,81
1591,Steuart at Market,Powell Street BART,173
1592,Steuart at Market,Powell at Post (Union Square),103
1593,Steuart at Market,San Francisco Caltrain (Townsend at 4th),4399
1594,Steuart at Market,San Francisco Caltrain 2 (330 Townsend),2491
1595,Steuart at Market,San Francisco City Hall,29
1596,Steuart at Market,South Van Ness at Market,65
1597,Steuart at Market,Spear at Folsom,506
1598,Steuart at Market,Temporary Transbay Terminal (Howard at Beale),150
1599,Steuart at Market,Townsend at 7th,1204
1600,Steuart at Market,Washington at Kearney,6
1601,Steuart at Market,Washington at Kearny,130
1602,Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),182
1603,Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,428
1604,Temporary Transbay Terminal (Howard at Beale),2nd at South Park,1025
1605,Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,2550
1606,Temporary Transbay Terminal (Howard at Beale),5th at Howard,1661
1607,Temporary Transbay Terminal (Howard at Beale),Beale at Market,202
1608,Temporary Transbay Terminal (Howard at Beale),Broadway St at Battery St,1094
1609,Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),674
1610,Temporary Transbay Terminal (Howard at Beale),Clay at Battery,861
1611,Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,1233
1612,Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,228
1613,Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,294
1614,Temporary Transbay Terminal (Howard at Beale),Embarcadero at Folsom,102
1615,Temporary Transbay Terminal (Howard at Beale),Embarcadero at Sansome,987
1616,Temporary Transbay Terminal (Howard at Beale),Embarcadero at Vallejo,1136
1617,Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,469
1618,Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,352
1619,Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),566
1620,Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,499
1621,Temporary Transbay Terminal (Howard at Beale),Market at 10th,827
1622,Temporary Transbay Terminal (Howard at Beale),Market at 4th,901
1623,Temporary Transbay Terminal (Howard at Beale),Market at Sansome,373
1624,Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),378
1625,Temporary Transbay Terminal (Howard at Beale),Post at Kearney,36
1626,Temporary Transbay Terminal (Howard at Beale),Post at Kearny,196
1627,Temporary Transbay Terminal (Howard at Beale),Powell Street BART,386
1628,Temporary Transbay Terminal (Howard at Beale),Powell at Post (Union Square),72
1629,Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),4512
1630,Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),2484
1631,Temporary Transbay Terminal (Howard at Beale),San Francisco City Hall,67
1632,Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,842
1633,Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,179
1634,Temporary Transbay Terminal (Howard at Beale),Steuart at Market,344
1635,Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,1747
1636,Temporary Transbay Terminal (Howard at Beale),Washington at Kearney,80
1637,Temporary Transbay Terminal (Howard at Beale),Washington at Kearny,112
1638,Temporary Transbay Terminal (Howard at Beale),Yerba Buena Center of the Arts (3rd @ Howard),398
1639,Townsend at 7th,2nd at Folsom,540
1640,Townsend at 7th,2nd at South Park,121
1641,Townsend at 7th,2nd at Townsend,541
1642,Townsend at 7th,5th St at Folsom St,1
1643,Townsend at 7th,5th at Howard,196
1644,Townsend at 7th,Beale at Market,74
1645,Townsend at 7th,Broadway St at Battery St,63
1646,Townsend at 7th,Civic Center BART (7th at Market),2432
1647,Townsend at 7th,Clay at Battery,73
1648,Townsend at 7th,Commercial at Montgomery,154
1649,Townsend at 7th,Davis at Jackson,81
1650,Townsend at 7th,Embarcadero at Bryant,181
1651,Townsend at 7th,Embarcadero at Folsom,341
1652,Townsend at 7th,Embarcadero at Sansome,83
1653,Townsend at 7th,Embarcadero at Vallejo,73
1654,Townsend at 7th,Golden Gate at Polk,324
1655,Townsend at 7th,Grant Avenue at Columbus Avenue,29
1656,Townsend at 7th,Harry Bridges Plaza (Ferry Building),1288
1657,Townsend at 7th,Howard at 2nd,362
1658,Townsend at 7th,Market at 10th,367
1659,Townsend at 7th,Market at 4th,317
1660,Townsend at 7th,Market at Sansome,550
1661,Townsend at 7th,Mechanics Plaza (Market at Battery),64
1662,Townsend at 7th,Post at Kearney,47
1663,Townsend at 7th,Post at Kearny,129
1664,Townsend at 7th,Powell Street BART,490
1665,Townsend at 7th,Powell at Post (Union Square),71
1666,Townsend at 7th,San Francisco Caltrain (Townsend at 4th),3183
1667,Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),4193
1668,Townsend at 7th,San Francisco City Hall,32
1669,Townsend at 7th,South Van Ness at Market,722
1670,Townsend at 7th,Spear at Folsom,403
1671,Townsend at 7th,Steuart at Market,494
1672,Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),1278
1673,Townsend at 7th,Washington at Kearney,5
1674,Townsend at 7th,Washington at Kearny,41
1675,Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),155
1676,University and Emerson,California Ave Caltrain Station,38
1677,University and Emerson,Cowper at University,61
1678,University and Emerson,Palo Alto Caltrain Station,7
1679,University and Emerson,Park at Olive,23
1680,University and Emerson,Redwood City Caltrain Station,1
1681,University and Emerson,San Antonio Caltrain Station,3
1682,University and Emerson,San Antonio Shopping Center,8
1683,University and Emerson,Stanford in Redwood City,4
1684,Washington at Kearney,2nd at Folsom,4
1685,Washington at Kearney,2nd at South Park,6
1686,Washington at Kearney,2nd at Townsend,1
1687,Washington at Kearney,5th at Howard,4
1688,Washington at Kearney,Beale at Market,32
1689,Washington at Kearney,Broadway St at Battery St,1
1690,Washington at Kearney,Clay at Battery,2
1691,Washington at Kearney,Commercial at Montgomery,1
1692,Washington at Kearney,Davis at Jackson,6
1693,Washington at Kearney,Embarcadero at Bryant,3
1694,Washington at Kearney,Embarcadero at Folsom,70
1695,Washington at Kearney,Embarcadero at Sansome,6
1696,Washington at Kearney,Grant Avenue at Columbus Avenue,4
1697,Washington at Kearney,Harry Bridges Plaza (Ferry Building),48
1698,Washington at Kearney,Howard at 2nd,9
1699,Washington at Kearney,Market at 10th,52
1700,Washington at Kearney,Market at 4th,5
1701,Washington at Kearney,Market at Sansome,10
1702,Washington at Kearney,Mechanics Plaza (Market at Battery),18
1703,Washington at Kearney,Post at Kearney,8
1704,Washington at Kearney,Powell Street BART,33
1705,Washington at Kearney,Powell at Post (Union Square),6
1706,Washington at Kearney,San Francisco Caltrain (Townsend at 4th),17
1707,Washington at Kearney,San Francisco Caltrain 2 (330 Townsend),43
1708,Washington at Kearney,San Francisco City Hall,2
1709,Washington at Kearney,South Van Ness at Market,2
1710,Washington at Kearney,Spear at Folsom,2
1711,Washington at Kearney,Steuart at Market,23
1712,Washington at Kearney,Temporary Transbay Terminal (Howard at Beale),59
1713,Washington at Kearney,Townsend at 7th,1
1714,Washington at Kearney,Yerba Buena Center of the Arts (3rd @ Howard),3
1715,Washington at Kearny,2nd at Folsom,13
1716,Washington at Kearny,2nd at South Park,163
1717,Washington at Kearny,2nd at Townsend,52
1718,Washington at Kearny,5th at Howard,92
1719,Washington at Kearny,Beale at Market,175
1720,Washington at Kearny,Broadway St at Battery St,21
1721,Washington at Kearny,Civic Center BART (7th at Market),47
1722,Washington at Kearny,Clay at Battery,44
1723,Washington at Kearny,Commercial at Montgomery,9
1724,Washington at Kearny,Davis at Jackson,32
1725,Washington at Kearny,Embarcadero at Bryant,70
1726,Washington at Kearny,Embarcadero at Folsom,90
1727,Washington at Kearny,Embarcadero at Sansome,44
1728,Washington at Kearny,Embarcadero at Vallejo,8
1729,Washington at Kearny,Golden Gate at Polk,43
1730,Washington at Kearny,Grant Avenue at Columbus Avenue,18
1731,Washington at Kearny,Harry Bridges Plaza (Ferry Building),99
1732,Washington at Kearny,Howard at 2nd,36
1733,Washington at Kearny,Market at 10th,95
1734,Washington at Kearny,Market at 4th,95
1735,Washington at Kearny,Market at Sansome,87
1736,Washington at Kearny,Mechanics Plaza (Market at Battery),135
1737,Washington at Kearny,Post at Kearny,52
1738,Washington at Kearny,Powell Street BART,266
1739,Washington at Kearny,Powell at Post (Union Square),15
1740,Washington at Kearny,San Francisco Caltrain (Townsend at 4th),168
1741,Washington at Kearny,San Francisco Caltrain 2 (330 Townsend),175
1742,Washington at Kearny,San Francisco City Hall,12
1743,Washington at Kearny,South Van Ness at Market,11
1744,Washington at Kearny,Spear at Folsom,21
1745,Washington at Kearny,Steuart at Market,32
1746,Washington at Kearny,Temporary Transbay Terminal (Howard at Beale),160
1747,Washington at Kearny,Townsend at 7th,39
1748,Washington at Kearny,Yerba Buena Center of the Arts (3rd @ Howard),13
1749,Yerba Buena Center of the Arts (3rd @ Howard),2nd at Folsom,19
1750,Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,68
1751,Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,83
1752,Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,336
1753,Yerba Buena Center of the Arts (3rd @ Howard),Beale at Market,67
1754,Yerba Buena Center of the Arts (3rd @ Howard),Broadway St at Battery St,20
1755,Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),72
1756,Yerba Buena Center of the Arts (3rd @ Howard),Clay at Battery,64
1757,Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,461
1758,Yerba Buena Center of the Arts (3rd @ Howard),Davis at Jackson,9
1759,Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Bryant,27
1760,Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Folsom,37
1761,Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,25
1762,Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Vallejo,19
1763,Yerba Buena Center of the Arts (3rd @ Howard),Golden Gate at Polk,44
1764,Yerba Buena Center of the Arts (3rd @ Howard),Grant Avenue at Columbus Avenue,101
1765,Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),248
1766,Yerba Buena Center of the Arts (3rd @ Howard),Howard at 2nd,17
1767,Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,337
1768,Yerba Buena Center of the Arts (3rd @ Howard),Market at 4th,75
1769,Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,216
1770,Yerba Buena Center of the Arts (3rd @ Howard),Mechanics Plaza (Market at Battery),38
1771,Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearney,10
1772,Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearny,67
1773,Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,201
1774,Yerba Buena Center of the Arts (3rd @ Howard),Powell at Post (Union Square),27
1775,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),1799
1776,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),1155
1777,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco City Hall,25
1778,Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,137
1779,Yerba Buena Center of the Arts (3rd @ Howard),Spear at Folsom,49
1780,Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,135
1781,Yerba Buena Center of the Arts (3rd @ Howard),Temporary Transbay Terminal (Howard at Beale),125
1782,Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,257
1783,Yerba Buena Center of the Arts (3rd @ Howard),Washington at Kearney,2
1784,Yerba Buena Center of the Arts (3rd @ Howard),Washington at Kearny,34
